character,top sccs
一,一亠龶冖屵十辷龷謍亗
丁,丁丅下了亅丨工矿孒兀
丂,丂丏亐亙弓行丐石戸芞
七,七弋乇毛士十戈乜节毟
丄,丄上丨亅土士业工止圡
丅,丅丁下工丨亅了卞亦甿
丆,丆龵才太厷之耂大尢宀
万,万方芀刄奵乃力宛刅办
丈,丈艾文支芆卖交奭女荬
三,三亖童宣亘章寠重黨婁
上,上土丄圡士止工韭丨业
下,下丁丅不求了卞丨吓亅
丌,丌几兀刅劜加帅凡殈娅
不,不下乑丕夵求木來忝术
与,与肓写訇宆盲吂肯巪肙
丏,丏丐円丂菛門巧蕑聍虶
丐,丐丏巧聍弓菛吁丂酑聤
丑,丑五罸訂岊謌訐彁兛骬
丒,丒刄卫壐犚囚习囜璽蔢
专,专叐焘亐赱寿寺苃右羑
且,且日旦目冝咠吕昼呂昌
丕,丕圶銮不莖桽蕐厺韲杰
世,世丗凸伳怈壯壮廿趉泄
丗,丗世凸怈出昢壯卌廿旪
丘,丘垕旦斤且匠瘇屇匡巨
丙,丙苬内閃內两雨焛卤因
业,业亚丄丨山亅邺止屸上
丛,丛从龪厸逖込队朲炏认
东,东尕夵来朶奈茮左穼末
丝,丝绉竺坐犩绪幺毟挲么
丞,丞氶髽水永函氷禾髿髬
丟,丟丢去夭雲罢天耒宎羐
丠,丠北丄圠些比荜业牝逇
両,両襾而閊面覀丽閘币帀
丢,丢丟夭去天耒关哭宎夫
丣,丣戼非亜疈卵柬茀茆粟
两,两丙雨兩焛閟閃苬内閦
严,严产屵戸龶龷汗厈芒尸
並,並亚諩踫碰哑业裇丅湴
丧,丧喪夹苌藀裘变褧畏煚
丨,丨亅丄亻忄刂丁丅小十
丩,丩虬虲轧吼艸啩圤耴劜
个,个尒仐介仚氽厼汆兊屳
丫,丫了氵氺彳丨亻亅丷龴
丬,丬丿烞犭仦讣乣姚烑冫
中,中申屮巾屯曲由車甲甫
丮,丮卂虱电黾訊凰膩軾試
丯,丯參絫爹翏孳奓奒蔘戔
丰,丰芊羊芋辛芉韦羋丵幸
丱,丱州川驯儿兕兜屮忄删
串,串申甲审丳閈舑峷帛噐
丳,丳岪串宑畁弗申舁睥荓
临,临惂峈恂恠惟恟怐悎愘
丵,丵半莘幸業丰芊羊学芉
丶,丶丷龴冫氵龸罓宀乛犭
丷,丷丶龴氵爫彡彳丫冫乊
丸,丸九办冘宂宄苅芄茢尢
丹,丹舟冎冄幵凡丼円只艸
为,为力内屶丙芀大刀尢边
主,主宔王三圭譱壷霻工茔
丼,丼井茾幷开幵升并廾芹
丽,丽而帀両襾币冚骊屲覀
举,举挙牶拳癷拲秊丵学箤
丿,丿丬认从冫亅祧铫劜恌
乀,乀入人丶飞式杙忒太汆
乁,乁贰甙穴凣貳凢弎乀忒
乂,乂义又叉文父乄夊火燓
乃,乃刀刅刄刃万奵力九奶
乄,乄以必乂彡冫燓又义幺
久,久欠勽么灳入仌火乆人
乆,乆人入火久央夬汄失犬
乇,乇毛千壬手託七干子尧
么,么幺久公厶纟厹仌參巛
义,义乂又叉文夊父芆艾夂
乊,乊爫丶丷之宀亥丆龴宐
之,之乏丆亥乊耂羕老奓耄
乌,乌鸟马写巪昌甹吕旦呂
乍,乍笮須午苲岝缟亇倌缜
乎,乎手千孒子孑芧于平采
乏,乏乯芝窆乥赱之鬔穵覂
乐,乐示尗朱宋禾釆杘尿宷
乑,乑來求不禾豕术木水氺
乒,乒兵乓昗昊县異奊呉吴
乓,乓兵乒奊昗狊县昊呉吴
乔,乔禿秃夰岙岕芥秀养荞
乕,乕帍屚庸厈厇扄厒屌靥
乖,乖乘菲乗非雽苹丰霏卞
乗,乗秉雬粟栗乘桒棐宷琹
乘,乘乗棐粟乖宷莍莱菜雬
乙,乙龴乛匕卺餮刁烝圣芲
乚,乚卜厂广匕阝囗凵冂刂
乛,乛宀龴龸爫丶厂罒了广
乜,乜也毝匕兞七毥他佨慆
九,九丸宂办冘尢尤亣亢宄
乞,乞艺穵乭乥气匇勻匀気
也,也乜弛牠扡他忚祂毸杝
习,习刁勻匀易剼圂玎剹阘
乡,乡爹多纟參今癹滲参乷
乢,乢癿刂圠臫此北龨龼龽
乣,乣糺釓纰紪紅乿紕纠钆
乤,乤朰乮乫娈寥乯荖艺蓼
乥,乥乯乏艺乧乞乭豸穵蓫
书,书节肀壭謌丑电乇帇弜
乧,乧穵乯乷乥艺朰乭窆芝
乨,乨刣釓钆乱邰轧乩糺郃
乩,乩乱乹扎轧耴軋亄钆虬
乪,乪尫尪呾廽血砠皿矼砪
乫,乫乮穵毠乤艺芝乺朰乼
乬,乬毫乭乶皀亳弖昙戞戛
乭,乭乬乶乼乽窆乞穵乥夣
乮,乮乫乴穵乺乷乤窆翏寥
乯,乯乧乏乥乺乽乴芝丢艺
买,买实奀卖头姴奕突荬劽
乱,乱乹耴軋乩亄扎乨刮轧
乲,乲姿乷咨餈朰秶垐參篸
乳,乳乱乿亂乵孔扎耴轧軋
